objectid,filename,youtubeid,vimeoid,title,authors,names of student collaborators,date,item type,abstract,subject,location,latitude,longitude,link,identifier,publisher,citation,type,format,language,rights,rightsstatement
coll011,dentato.PNG,,,"The Unintended Influence and Impact: Funder-Mandated Performance Metrics, Service Delivery, and Social Justice",Michael P. Dentato; Nathan H. Perkins; Maria V. Wathen,,2023-06-07,Article,"Nonprofit organizations provide services that address the complex needs of diverse populations within a multitude of financial and resource constraints. Necessity requires these organizations to apply for financial support from a variety of stakeholders and engage in evaluation processes that are often driven by funder priorities. Therefore, understanding nonprofit staff perceptions of the influence of funder-mandated metrics upon service is critical. This study utilized qualitative interviews to examine the perceptions of administrators and staff members within nonprofit organizations related to the influence of funder-mandated performance metrics on service provision. Findings suggest that funder-mandated metrics influenced the definitions of client success, client-provider relationships, client motivation, and how services are provided. Social justice questions are raised regarding the impact that culture, privilege, and ideology can have on service delivery and client experiences which highlight directions for future research and practice implications.",Nonprofit organizations;Social justice;Financial Support,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_primary_10_1080_23303131_2023_2215270&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1080/23303131.2023.2215270,,"Iverson, M., Dentato, M. P., Perkins, N. H., & Wathen, M. V. (2023). The Unintended Influence and Impact: Funder-Mandated Performance Metrics, Service Delivery, and Social Justice. Human Service Organizations: Management, Leadership & Governance, 47(5), 385–403. https://doi.org/10.1080/23303131.2023.2215270",Image;StillImage,image/jpeg,eng,,
coll012,drenten.PNG,,,"More Gamer, Less Girl: Gendered Boundaries, Tokenism, and the Cultural Persistence of Masculine Dominance",Jenna M. Drenten,,2022-10-03,Article,"How do exclusionary boundaries persist in consumption subcultures amid increased progress, representation, and inclusion? In video gaming, women have come to represent nearly half of the market; yet, this is a limited indicator of gender-based progress. A culture of masculine dominance persists. Extending previous research on boundary work, the authors employ a cultural perspective of tokenism to examine how gendered boundaries in consumption subcultures persist despite efforts to transform or even eradicate them. This qualitative study draws on interviews with 23 gamers who identify as women (ages 19–29 years), coupled with data from social media platforms, news media, and industry reports. Empirical findings capture the recursive process of maladaptive boundary crossing: how women’s efforts to subvert gendered boundaries at the micro level (e.g., through response enactments) get churned through the structuring tokenistic mechanics of boundary work at the meso level and result in the inadvertent cultural persistence of masculine dominance. The analysis offers a conceptual framework that explains how micro–meso level dynamics perpetuate and conceal inequity in consumption subcultures. Implications address the precarious promise of progress and the cultural legacy of tokenism in the marketplace with particular relevance to broader systems of domination.",Consumer culture; Video game culture; Gender inequality; Tokenism; Male domination (Social structure),,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_primary_10_1093_jcr_ucac046&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1093/jcr/ucac046,Oxford University Press (OUP),"Drenten, J., Harrison, R. L., & Pendarvis, N. J. (2023). More Gamer, Less Girl: Gendered Boundaries, Tokenism, and the Cultural Persistence of Masculine Dominance. Journal of Consumer Research, 50(1), 2–24. https://doi.org/10.1093/jcr/ucac046",Image;StillImage,image/jpeg,eng,,
coll013,garbarski.PNG,,,The Measurement of Gender Expression in Surveys,Dana Garbarski,,2023-01-07,Article,"Previous research on the survey measurement of sexual orientation, gender identity, and gender expression (SOGIE) often focuses on the measurement of identity, with comparably little research focused on gender expression as a key feature of how gender is lived and experienced. This study examines the reliability and validity of survey questions about gender expression in a 2-by-5-by-2 factorial experiment that varies the question order, type of response scale, and the order of gender presentation in the response scale. The results indicate that the effect of which (side of the) scale is presented first on gender expression varies by gender for each of the unipolar items and one of the bipolar items (behavior). In addition, the unipolar items also show distinctions among the gender minority population in ratings of gender expression as well as more nuance with respect to concurrent validity in predicting health outcomes among cisgender respondents. The results of this study have implications for researchers who are interested in accounting for gender holistically in survey and health disparities research. •Gender expression is an understudied facet of gender in survey research.•Study varies order of questions, masculinity/femininity, and type of response scale.•Unipolar items show benefits for measurement reliability and validity.•Results have implications for holistic representation of gender in survey research.",Gender expression; Survey questions; Health disparities; Survey measurement; Gender and Sexuality,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma99214065645202506&context=L&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1016/j.ssresearch.2022.102845,Elsevier,"Garbarski, Dana. 2023. ""The Measurement of Gender Expression in Surveys."" Social Science Research 110, 102845.",Image;StillImage,image/jpeg,eng,,
coll014,griffin.jpg,,,Irresponsible contagions: Propagating harmful behavior through imitation,Jennifer J. Griffin,,2022-12-08,Article,"‘Monkey see, monkey do’ is an old saying referring to imitating another's actions without necessarily understanding the underlying motivations or being concerned about consequences, such as propagating harmful behaviors. This study examines the likelihood of firms imitating and proliferating others’ unethical, irresponsible practices thereby exacerbating harmful effects among even more firms; in doing so, irresponsible contagions can rapidly spread more broadly, negatively affecting even more consumers. Building upon rivalry- and information-based imitation theories, we examine if harmful behaviors of others, in combination with misbehavior of referent firms, influences the likelihood of a firm to engage in irresponsible consumer-related practices. After examining 25,824 firm-year observations over 12 years, our findings suggest that imitation of harmful product-related behavior occurs; with size an important factor related to proliferation of harmful behaviors. Testing the model against a holdout sample finds 94% accuracy. Implications for scholars, managers, and policy makers are explored.",Corporate social irresponsibility; Customer; Empirical analysis; Information-based imitation; Rivalry-based imitation,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma99213980153002506&context=L&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1111/beer.12484,Wiley,"Bryant, A., Griffin, J. J., & Perry, V. G. (2023). Irresponsible contagions: Propagating harmful behavior through imitation. Business Ethics, the Environment & Responsibility, 32(1), 292–311. https://doi.org/10.1111/beer.12484",Image;StillImage,image/jpeg,eng,,
coll015,,,,"Primary Barriers to Working Class Representation
",Eric R. Hansen,,2023-01-31,Article,"How do working class candidates perform in primary elections? Working class candidates rarely emerge, but existing evidence suggests workers perform as well as white-collar candidates once on the ballot. However, this evidence comes from studies of general elections. It is unknown whether these findings extend to other types of elections like primaries, where candidates compete without the political and financial backing of a party. We collect and analyze novel data describing the occupational background of all candidates who competed in U.S. House primaries between 2008 and 2016. The results show that working class candidates received an average vote share 24 percentage points lower than nonworkers and are 31 percentage points less likely to win their primaries. Controlling for other candidate, contest, and district characteristics helps to attenuate the performance gap. We find mixed evidence that fundraising and prior officeholding experience moderates workers' performance, but weak or no evidence that voter bias, party affiliation, or primary type do so. The study suggests that workers struggle to compete in primaries and calls for further research explaining what prevents workers from winning public office.
",Elections; Working class; Employees; Fund raising,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_proquest_journals_2844623122&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1177/1065912923115491,SAGE Publications,"Treul, S. A., & Hansen, E. R. (2023). Primary Barriers to Working Class Representation. Political Research Quarterly, 76(3), 1516–1528. https://doi.org/10.1177/10659129231154914",,record,eng,,
coll016,hermansen.png,,,Sufism in Western Contexts,Marcia K. Hermansen,,2023-01-01,Book,"Sufism in Western Contexts explores both historical trajectories and multiple contemporary manifestations of Islamic mystical movements, ideas, and practices in diverse European, North and South American countries, as well as in Australia – all traditionally non-Muslim regions of the ""global West"". From early French and British colonial administrators who admired Persian poetry to nineteenth-century American transcendentalists, followed by South Asian and Middle Eastern immigrant Sufi guides and their movements, expansive and many-faceted expressions of Sufism such as its role in Western esotericism, female whirling dervishes and Rumi cafes, and new articulations in cyberspace, are traced and analyzed by international experts in the field.",,,,,https://doi.org/10.1163/9789004392625,ISBN: 978-90-04-39262-5,Brill,"Hermansen, M. K., & Zarrabi-Zadeh, S. (Eds.). (2023). Sufism in Western Contexts. BRILL. https://doi.org/10.1163/9789004392625",Image;StillImage,image/jpeg,eng,,
coll017,hoellein.jpg,,,"Egestion rates of microplastic fibres in fish scaled to in situ concentration and fish density
",Timothy J. Hoellein,"Loren Hou. First author, a LUC undergraduate (Biology) and MS graduate (Biology)",,Article,"1. Microplastics (particles <5 mm) are commonly found in aquatic organisms across taxonomic groups and ecosystems. However, the egestion rate of microplastics from aquatic organisms and how egestion rates compare to other rates of microplastic movement in the environment are sparsely documented.
2. We fed microplastic fibres to round gobies (Neogobius melanostomus), an abundant, invasive species in the Laurentian Great Lakes. We conducted two trials where round gobies were fed microplastic-containing food either a single time (1 day) or every day over 7 days.
3. There was no difference in microplastic egestion rates from the 1 day or 7 day feeding trials, suggesting no impact of duration of exposure on egestion (exponential decay rate = −0.055 [±0.016 SE] and −0.040 [±0.007 SE], respectively). Turnover time of microplastics (i.e., average time from ingestion to egestion) in the gut ranged from 18.2 to 25.0 hr, similar to published values for other freshwater taxa.
4. We also measured microplastics in the digestive tracts of round gobies collected directly from Lake Michigan, U.S.A. Using published values for round goby density and microplastic concentration at the study sites, we calculated areal egestion rate by round gobies (no. particles m–2 day–1), and compared it to riverine microplastic export (no. particles m–2 day–1). Both area-based rates were of the same order of magnitude, suggesting that round goby egestion could be an important, and potentially overlooked component of microplastic dynamics at the ecosystem scale.
5. Animal egestion is well-known as a major component of nutrient and carbon cycling. However, direct measurements of microplastic fluxes in the environment that include animal egestion rates are uncommon. An ecosystem ecology approach is needed to meet the emerging challenge of generating microplastic budgets for freshwater environments and elsewhere, thereby informing management and mitigation of plastic pollution at a global scale.",Biology,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma99213984143502506&context=L&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1111/fwb.14007,Wiley,"Hou, L., McNeish, R., & Hoellein, T. J. (2023). Egestion rates of microplastic fibres in fish scaled to in situ concentration and fish density. Freshwater Biology, 68(1), 33–45. https://doi.org/10.1111/fwb.14007",Image;StillImage,image/jpeg,eng,,
coll018,hutchens.png,,,Introduction: Jarosław Iwaszkiewicz's The Teacher ,Jack J. B. Hutchens,,2023-12-01,Article,"In his time, Jarosław Iwaszkiewicz (1894–1980) became one of the most well-known, most influential, and most respected figures in Polish literature. As a founding member of the Skamander group, he was a leading innovator of Polish modernism during the Interwar period. As editor-in-chief of the long-running Twórczość [The literary scene] magazine from 1955 until his death in 1980, he supported the work of innumerable authors whose writings might not have been published otherwise.1 Though it is now over forty years since his passing, and despite some posthumous attacks against him due to his position as long-time chairman of the Polish Writers’ Union (and thus an official in the Communist party), Iwaszkiewicz's eminent status in Polish letters has largely remained unchanged since his death.2 Though much has been written about Iwaszkiewicz's life and work, there are two aspects that have gotten very little attention.",History,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_primary_10_5406_23300841_68_4_03&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.5406/23300841.68.4.03,University of Illinois Press,"Hutchens, J. J. B. (2023). Introduction: Jarosław Iwaszkiewicz’s The Teacher. The Polish Review, 68(4), 54–57. https://doi.org/10.5406/23300841.68.4.03",Image;StillImage,image/jpeg,eng,,
coll019,keller.jpg,,,"Historical trends of aquatic invasive species introduction and establishment in Illinois, USA",Reuben P. Keller,Carter Cranberg,2023-07-28,Article,"Tracking the introduction and establishment of aquatic invasive species (AIS) is important for monitoring the biological and economic health of freshwater environments. The state of Illinois (USA) is a critical region for understanding the threats of AIS because it possesses the only continuous aquatic habitat connecting the Laurentian Great Lakes and Mississippi River Basins. In this study, we update a previous effort to catalogue and evaluate historical AIS records from Illinois. Our updated database shows that there are now at least 92 nonindigenous aquatic species established in Illinois and a further 51 have been recorded as introduced but not established. This is more species than reported in the earlier database, most likely due to improved access to data and a longer timeframe of analysis. Rates of introduction and establishment have continued to increase in Illinois over the past century, and we identify new groups of organisms that were not in the previous database. Current sampling efforts are not sufficient to detect the number of invaders present and additional non-native species may be present but not yet recorded. Illinois is likely to remain an important hub for the introduction and spread of invasive aquatic species with implications for freshwater ecosystems across the continent.","Life sciences; Ecology; Developmental biology; Botany; Introduced organisms 
",,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_proquest_journals_2866957958&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1007/s10530-023-03130-3,Springer International Publishing,"Cranberg, C. S., & Keller, R. P. (2023). Historical trends of aquatic invasive species introduction and establishment in Illinois, USA. Biological Invasions, 25(11), 3361–3368. https://doi.org/10.1007/s10530-023-03130-3",Image;StillImage,image/jpeg,eng,,
coll020,,,,"Indigenous methods and knowledge: Maternal health policy and practice in Ethiopia, Africa",Brian L. Kelly,,2021-05-15,Article,"This methodological article explores using Indigenous methodologies to elicit, gather, and report Indigenous knowledge as it relates to maternal health and mortality in the North Wollo Zone of Ethiopia. The authors demonstrate how attention to recruitment procedures (i.e. researcher and research assistant familiarity with the zone), data collection (i.e. interviews, visual dialogues, and observations), and data analysis (i.e. Circles and talking pieces) facilitated the elicitation and gathering of Indigenous knowledge. The authors contend using Indigenous methodologies to elicit, gather, and report Indigenous knowledge is essential to developing and implementing effective maternal health and mortality policies and programs in the region.
",,,,,https://doi.org/10.1177/00208728211008961,DOI: 10.1177/00208728211008961,SAGE Publications,"Ibrahima, A. B., & Kelly, B. L. (2023). Indigenous methods and knowledge: Maternal health policy and practice in Ethiopia, Africa. International Social Work, 66(4), 1222–1239. https://doi.org/10.1177/00208728211008961",,record,eng,,
